song_id,artist_familiarity,artist_hotttnesss,artist_id,artist_mbid,artist_playmeid,artist_7digitalid,artist_latitude,artist_longitude,artist_location,artist_name,release,release_7digitalid,song_hotttnesss,title,track_7digitalid,similar_artists,artist_terms,artist_terms_freq,artist_terms_weight,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,segments_start,segments_confidence,segments_pitches,segments_timbre,segments_loudness_max,segments_loudness_max_time,segments_loudness_start,sections_start,sections_confidence,beats_start,beats_confidence,bars_start,bars_confidence,tatums_start,tatums_confidence,artist_mbtags,artist_mbtags_count,year
"SOGSMXL12A81C23D88",0.5574602197393447,0.3861516314132549,"AREJXK41187B9A4ACC",c43bb0d6-94d7-410f-80fb-e5a243b18d23,2676,16971,46.71067,1.71819,"France","Rapha\xc3\xabl","Je Sais Que La Terre Est Plate (Deluxe)",275907,0.5479529419800353,"Je Sais Que La Terre Est Plate",3073568,,,,,22050,d8bafd4a65d1855aec08991c8b013dc1,0.0,0.0,0.192,0.0,0,0.591,-9.636,1,0.556,141.607,124.059,4,0.372,TRARRZU128F4253CA2,,,,,,,,,,,,,,,,,,2008
"SOMBCOW12AAF3B229F",0.6269577230052118,0.43485958934341257,"AR2XRFQ1187FB417FE",a69cd724-2f57-4ed0-bfed-ba20401eb84c,5772,92108,,,"","Julie Zenatti","Comme Vous",382807,0.47563846801023907,"On Efface",4249244,,,,,22050,55f60c97280172e9276723c06e531996,0.0,0.0,0.514,0.0,1,0.429,-11.061,0,0.67,241.424,80.084,4,0.533,TRARRJL128F92DED0E,,,,,,,,,,,,,,,,,,2004
"SOEYIHF12AB017B5F4",0.42572365804650586,0.0,"ARODOO01187FB44F4A",60bd8a1c-c093-4849-8f28-08101ca059b1,20540,1701,,,"","The Baltimore Consort","Watkins Ale -  Music of the English Renaissance",490659,nan,"Howells Delight",5436063,,,,,22050,053fb50807248bef996e6c7a5fe93533,0.0,0.0,0.974,0.0,3,0.0,-24.14,1,0.0,78.027,54.874,4,0.0,TRARRUZ128F9307C57,,,,,,,,,,,,,,,,,,0
"SODJYEC12A8C13D757",0.6114954183523941,0.3345197638116389,"ARJGW911187FB586CA",44b5b950-2ae2-403a-8c67-82d8fc72033d,-1,92184,,,"","I Hate Sally","b"Don't Worry Lady"",116616,nan,"Martha Served",1199928,,,,,22050,1637df8efe4d89507b6f4ef89a82cacf,0.0,0.0,0.0,0.0,7,0.38,-5.795,1,0.385,158.511,77.15,3,0.369,TRARRWA128F42A0195,,,,,,,,,,,,,,,,,,2007
"SOGSOUE12A58A76443",0.3672550107574772,0.3116155449734521,"AR9HQ6Y1187FB3C2CB",0e6524bd-6641-46a6-bce5-96f06c19aa46,-1,278655,,,"","Orlando Pops Orchestra","Easy Listening: Cartoon Songs",767122,nan,"Zip-A-Dee-Doo-Dah (Song of the South)",8493899,,,,,22050,ad4e2031b81e71567fcb7ee46708d255,0.0,0.0,0.0,0.0,10,0.551,-16.477,1,0.528,195.808,120.382,4,1.0,TRARRPG12903CD1DE9,,,,,,,,,,,,,,,,,,0
"SOVVDCO12AB0187AF7",0.6013057514861917,0.3636756770511417,"ARDPTGD1187B9AD361",097c86bc-b2b6-4791-833b-39b5385fe3e6,88169,16313,36.87652,-89.58828,"Sikeston MO","Brand X","X Communication : Trilogy II",503347,0.4454545254934259,"Liquid Time (composition by John Goodsall)",5570526,,,,,22050,b5a179fb28efbc6aabb5fbfbee80b1aa,0.0,0.0,0.433,0.0,9,0.519,-12.474,1,0.491,261.288,99.024,4,1.0,TRARRER128F9328521,,,,,,,,,,,,,,,,,,0
"SOKSZVC12A8C142004",0.7090105251029095,0.5535661720707804,"ARV8T9T1187B99F3F4",efaefde1-e09b-4d49-9d8e-b1304d2ece8d,51681,21896,,,"","Amorphis","Karelian Isthmus",239673,0.3277366831778408,"Misery Path (From the Privilege of Evil)",2999402,,,,,22050,00e6316aa4fd01163ec39ce3f0696a03,0.0,0.0,0.449,0.0,9,0.447,-4.393,1,0.247,251.275,175.673,4,0.0,TRARRYC128F428CCDA,,,,,,,,,,,,,,,,,,0
"SORWTIF12A6D4FAA41",0.5480223990659485,0.44013471201542936,"ARJ5BEW1187FB52361",de885e5b-284d-4dac-954c-48c7d7e2ebe5,-1,98670,,,"","Inoki","Nobilt\xc3\xa0 di strada",124304,nan,"Nuovi Re pt. I I (feat. Tek money - Lady Tambler)",1283021,,,,,22050,0bb8aae991035572e717ea7d80b25a11,0.0,0.0,0.223,0.0,1,0.194,-5.05,1,0.436,249.255,87.999,4,0.954,TRARROY128F42281F7,,,,,,,,,,,,,,,,,,0
"SOZQSGL12AF72A9145",0.737037558041999,0.5392454183492504,"AR050VJ1187B9B13A7",37c78aeb-d196-42b5-b991-6afb4fc9bc2e,6004,94403,,,"","Dead Kennedys","Milking The Sacred Cow",181162,0.7883881833222074,"Halloween",1959132,,,,,22050,5032dfa341b6d060636fc45e380d522a,0.0,0.0,0.0,0.0,10,0.325,-4.264,1,0.286,213.02,92.897,4,0.879,TRARREF128F422FD96,,,,,,,,,,,,,,,,,,1982
"SOKRHNY12AB01837DB",0.4359154566223205,0.3581485188029746,"AR8KUS11187B98C991",050ce7ea-0935-430f-bcec-b83e702298eb,-1,263016,,,"","Brigada Victor Jara","Novas Vos Trago",337773,nan,"Parto em terras distantes",3779273,,,,,22050,2fd76ffe0418baec679af697c53e9103,0.0,0.0,0.0,0.0,4,0.669,-13.885,0,0.638,296.316,86.981,5,0.688,TRARRVB128F92F47CA,,,,,,,,,,,,,,,,,,1998
"SOBTEHX12A6D4FBF18",0.8218442551240023,0.5924394855278091,"ARMOHN71187FB3959F",17e137fb-59e5-4fd7-af48-afc34995396c,-1,24087,33.6671,-117.76505,"Orange County CA","Atreyu","The Curse",290671,0.6810920295819312,"You Eclipsed By Me (Album Version)",3260887,,,,,22050,6bbd42892e54b2c684e9c869caeab226,0.0,0.0,0.0,0.0,0,0.588,-4.707,0,0.584,209.2,157.715,4,0.691,TRARRQO128F427B5F5,,,,,,,,,,,,,,,,,,2004
"SOXGDVW12AB01864E7",0.49579693213505177,0.3894988174170211,"ARQ0HOT1187B9A25FA",e8143d56-f2e9-4122-9666-6aa5352dadcd,160877,178952,42.31256,-71.08868,"Mass. - Boston","Mistress","In Disgust We Trust",682479,0.40148671142756037,"Shovel",7574139,,,,,22050,5d5578615b71db390e63397101a12704,0.0,0.0,5.294,0.0,0,0.821,-4.523,1,0.587,580.702,146.331,4,0.479,TRARRMK12903CDF793,,,,,,,,,,,,,,,,,,2005
"SOKMPKV12A67AE241B",0.733433226583055,0.455558796992588,"ARK8OHG1187B99016A",2e3b75d8-00a8-486a-b4e7-a1f8f65e64c9,12510,52647,,,"Boston MA","Shadows Fall","The War Within",734726,0.6878737149731753,"What Drives The Weak",8138989,,,,,22050,00cb38c2ea353906d29d450533700cd2,0.0,0.0,0.113,0.0,0,0.489,-4.076,0,0.596,280.88,84.992,4,0.42,TRARUOP12903CF2384,,,,,,,,,,,,,,,,,,2004
"SOMVPGP12AB01881FF",0.5708253226408206,0.40358823765010066,"ARZFRQM1187B9A9772",17be2a06-5295-43ca-a363-c683b562df72,-1,294223,,,"","Vanessa Daou","Joe Sent Me",409164,0.26695518627553855,"Life Force",4551998,,,,,22050,8100ccaae6b9ccdbe0a0538e8612ef21,0.0,0.0,0.276,0.0,2,0.162,-19.293,1,0.483,224.949,79.96,3,0.269,TRARURM128F931A91B,,,,,,,,,,,,,,,,,,0
"SOGXENE12AB01854EB",0.4843337579660785,0.33593551225154833,"ARQFKVO1187B9B1777",99f0e05e-e63e-4b48-a0a7-039ad3f9fc3d,-1,414650,,,"","Dave Brockie Experience","Diarrhea Of A Madman",559962,0.3552855364230894,"The Dance Of Europe",6198667,,,,,22050,833ecce13e614631669be4c4dcc256cb,0.0,0.0,0.311,0.0,1,0.387,-3.312,0,0.418,132.888,99.959,5,0.902,TRARUDQ128F934B0ED,,,,,,,,,,,,,,,,,,2001
"SOBHQIJ12A6D4FC7D3",0.618692141580311,0.42272137011677613,"ARB2M051187FB56FA9",336f2e14-b064-45c8-8b2a-01663a0bee64,-1,50458,40.71455,-74.00712,"New York NY","Spoonie Gee","The Sugar Hill Records Story",531997,0.5435242770791181,"Spoonie Is Back",5879315,,,,,22050,9e79ed881cc96ee1979d84dd554de1dc,0.0,0.0,0.179,0.0,1,0.421,-6.619,1,0.155,379.478,135.503,5,0.677,TRARUHU128F92FDC00,,,,,,,,,,,,,,,,,,0
"SODENZR12AAF3B13B9",0.5772760891324358,0.37693998444161575,"AREJ5K11187B993F5F",3c050ada-9db8-4e87-86fb-11c5294f9711,-1,25079,,,"","R. Carlos Nakai","Changes",529426,0.21508031850922793,"Blood Round Dance Song (World)",5846819,,,,,22050,d6cce6c720273d7d453fad8ffc62eed8,0.0,0.0,0.347,0.0,1,0.027,-25.651,0,0.415,137.143,104.989,1,0.0,TRARUFE128F92F5D21,,,,,,,,,,,,,,,,,,1982
"SOEKSGJ12A67AE227E",0.8873860805964897,0.7911430023895633,"ARQUMH41187B9AF699",f59c5520-5f46-4d2c-b2c4-822eabf53419,-1,12873,34.05349,-118.24532,"Los Angeles CA","Linkin Park","Hybrid Theory",18150,0.8722290226088538,"Crawling (Album Version)",193083,,,,,22050,9a2211c39fdd2870662e5c95e786a840,0.0,0.0,3.245,0.0,4,0.247,-6.052,1,0.464,200.969,105.095,4,0.873,TRARUTP128E0797FC7,,,,,,,,,,,,,,,,,,2000
"SOVPBXO12AB0188671",0.4534449307485466,0.31161748493154134,"ARCQ3LZ1187FB49B42",45d921dd-aaf9-4f72-9a8c-101ec24b9186,-1,273042,,,"","Koffi Olomid\xc3\xa9","Les incontournables du Congo",353224,nan,"Bennie",3950907,,,,,22050,6ed22a02ed3c63a241b044819049698b,0.0,0.0,0.343,0.0,0,0.66,-7.164,1,0.585,613.837,89.572,5,0.7,TRARUYJ128F9316C65,,,,,,,,,,,,,,,,,,0
"SOAMBCI12AC4685087",0.38031705571596447,0.30091842861713314,"ARWNTXK11EBCD7BBFB",,-1,505616,,,"","Alain-Fran\xc3\xa7ois","Vivant",685601,nan,"Playa del sous-sol",7608431,,,,,22050,628fa5d1714b80434d1bf5a867c94c82,0.0,0.0,0.079,0.0,4,0.517,-5.704,1,0.491,163.358,107.986,4,0.273,TRARITF12903CE7DA9,,,,,,,,,,,,,,,,,,0
"SOQNRHE12A8AE4849A",0.42969369102776883,0.39046557975011453,"AR7SVRP1187FB55875",5ccd3ed0-9a0e-412e-93b4-9ad5dd151547,-1,19378,,,"","Billy May & His Orchestra","The Original Ballroom Dancing Album",234582,nan,"Fascinating Rhythm (Instrumental) (2007 Digital Remaster)",2575085,,,,,22050,94ccab683146e4bd2466c6c18a79b989,0.0,0.0,0.223,0.0,8,0.054,-10.703,1,0.377,296.496,103.532,1,0.401,TRARIGL128F422B9CE,,,,,,,,,,,,,,,,,,0
